case_id,split,entries,q_bits,rom_bits,sequence_length,head_dimension,score_scale,repetition,seed,probability_stable_relative_error,output_stable_relative_error,case_worst_error,probability_sum_error
random_scores_L512_D64_scale1_R0,final_test,256,14,4096,512,64,2.0,0,3565306119,0.007908777191793753,0.005806383529084278,0.007908777191793753,0.00045213702946966805
random_scores_L512_D64_scale1_R1,final_test,256,14,4096,512,64,2.0,1,771629024,0.011858234091734898,0.009714829322872291,0.011858234091734898,0.00011460456812528719
random_scores_L512_D128_scale0_R0,final_test,256,14,4096,512,128,1.0,0,1715525944,0.009747342257656598,0.011176152581835007,0.011176152581835007,0.000818377757241251
random_scores_L512_D128_scale0_R1,final_test,256,14,4096,512,128,1.0,1,1529591353,0.011752374678211771,0.012655924484753667,0.012655924484753667,0.00045468057578545995
random_scores_L512_D128_scale1_R0,final_test,256,14,4096,512,128,2.0,0,3721455576,0.009147027441558394,0.008488391042784791,0.009147027441558394,0.0005006950889310247
random_scores_L512_D128_scale1_R1,final_test,256,14,4096,512,128,2.0,1,4089477858,0.009187120160600158,0.008726089495834602,0.009187120160600158,0.0004567529590531194
random_scores_L1024_D64_scale0_R0,final_test,256,14,4096,1024,64,1.0,0,3209714255,0.00904404316593431,0.0098543433053302,0.0098543433053302,0.0007360507370322011
random_scores_L1024_D64_scale0_R1,final_test,256,14,4096,1024,64,1.0,1,139766981,0.010189355046055256,0.00983365642180568,0.010189355046055256,0.00017472117542638443
random_scores_L1024_D64_scale1_R0,final_test,256,14,4096,1024,64,2.0,0,1668092918,0.008917519945286285,0.006391326259213879,0.008917519945286285,3.8494039984016126e-05
random_scores_L1024_D64_scale1_R1,final_test,256,14,4096,1024,64,2.0,1,2370976415,0.009634594508254695,0.011148864272995832,0.011148864272995832,0.00021247643599053845
random_scores_L1024_D128_scale0_R0,final_test,256,14,4096,1024,128,1.0,0,2619846946,0.010863273312639721,0.012994483635435828,0.012994483635435828,0.00011735974476323463
random_scores_L1024_D128_scale0_R1,final_test,256,14,4096,1024,128,1.0,1,100676919,0.010015758185678375,0.012651071259793714,0.012651071259793714,0.0001400315813953057
random_scores_L1024_D128_scale1_R0,final_test,256,14,4096,1024,128,2.0,0,3901754262,0.010167243094996913,0.007825483145485066,0.010167243094996913,0.00032754042490523716
random_scores_L1024_D128_scale1_R1,final_test,256,14,4096,1024,128,2.0,1,3348629160,0.007379524672120774,0.005846359830984443,0.007379524672120774,0.0007476882124137774
