candidate_id,opcode,opcode_name,funct3,funct7,rs1,rs2,variable_rd,words_checked,active_decoder_family_overlap_count,selected_generator_family_overlap_count,all_source_generator_family_overlap_count,active_decoder_all_32_rd_safe,selected_generator_all_32_rd_safe,all_source_all_32_rd_safe,status,pattern
,0x5b,custom-2,0,127,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11111110000000000000?????1011011
,0x5b,custom-2,1,0,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00000000000000000001?????1011011
,0x5b,custom-2,1,1,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00000010000000000001?????1011011
,0x5b,custom-2,1,2,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00000100000000000001?????1011011
,0x5b,custom-2,1,3,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00000110000000000001?????1011011
,0x5b,custom-2,1,4,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00001000000000000001?????1011011
,0x5b,custom-2,1,5,x0,x0,x0..x31,32,0,2,2,Yes,No,No,UNSAFE,00001010000000000001?????1011011
,0x5b,custom-2,1,6,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00001100000000000001?????1011011
,0x5b,custom-2,1,7,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00001110000000000001?????1011011
,0x5b,custom-2,1,8,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00010000000000000001?????1011011
,0x5b,custom-2,1,9,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00010010000000000001?????1011011
,0x5b,custom-2,1,10,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00010100000000000001?????1011011
,0x5b,custom-2,1,11,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00010110000000000001?????1011011
,0x5b,custom-2,1,12,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00011000000000000001?????1011011
,0x5b,custom-2,1,13,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00011010000000000001?????1011011
,0x5b,custom-2,1,14,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00011100000000000001?????1011011
