instruction_name,source_name,pattern,source_file,source_location,generation_input
FCVT_H_B,fcvt.h.b,010001000011?????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:168,No
FCVT_B_H,fcvt.b.h,010001100010?????????????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:169,No
FCVT_B_B,fcvt.b.b,010001100011?????000?????1010011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:226,No
VFADD_S,vfadd.s,1000001??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:250,No
VFADD_R_S,vfadd.r.s,1000001??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:251,No
VFSUB_S,vfsub.s,1000010??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:252,No
VFSUB_R_S,vfsub.r.s,1000010??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:253,No
VFMUL_S,vfmul.s,1000011??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:254,No
VFMUL_R_S,vfmul.r.s,1000011??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:255,No
VFDIV_S,vfdiv.s,1000100??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:256,No
VFDIV_R_S,vfdiv.r.s,1000100??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:257,No
VFMIN_S,vfmin.s,1000101??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:258,No
VFMIN_R_S,vfmin.r.s,1000101??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:259,No
VFMAX_S,vfmax.s,1000110??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:260,No
VFMAX_R_S,vfmax.r.s,1000110??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:261,No
VFSQRT_S,vfsqrt.s,100011100000?????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:262,No
VFMAC_S,vfmac.s,1001000??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:263,No
VFMAC_R_S,vfmac.r.s,1001000??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:264,No
VFMRE_S,vfmre.s,1001001??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:265,No
VFMRE_R_S,vfmre.r.s,1001001??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:266,No
VFCLASS_S,vfclass.s,100110000001?????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:267,No
VFSGNJ_S,vfsgnj.s,1001101??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:268,No
