candidate,candidate_pattern,conflicting_instruction,existing_pattern,witness_machine_word,source_kind,source_file,source_location
custom-2_f1_f7_113,11100010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xe200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_117,11101010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xea00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_121,11110010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xf200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_125,11111010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0xfa00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f2_f7_0,00000000000000000010?????1011011,ISLT,0000000??????????010?????1011011,0x0000205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:33
custom-2_f2_f7_0,00000000000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0000205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_1,00000010000000000010?????1011011,INMSUB,?????01??????????010?????1011011,0x0200205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:43
custom-2_f2_f7_1,00000010000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0200205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_2,00000100000000000010?????1011011,IMULHSU,0000010??????????010?????1011011,0x0400205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:48
custom-2_f2_f7_2,00000100000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0400205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_3,00000110000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0600205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_4,00001000000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0800205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_5,00001010000000000010?????1011011,INMSUB,?????01??????????010?????1011011,0x0a00205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:43
custom-2_f2_f7_5,00001010000000000010?????1011011,ICLMULR,0000101??????????010?????1011011,0x0a00205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:96
custom-2_f2_f7_5,00001010000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0a00205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_6,00001100000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0c00205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_7,00001110000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x0e00205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_8,00010000000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1000205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
